mt
1156
10000 3
 -65 -65 -65
 -65 -65 -65
 -65 -65 -65
 -65 -65 -65
 -65 -65 -65
 -65 -65 -65
 -65 -65 -65
 -64.9998 -65 -65
 -64.9993 -65 -65
 -64.998 -65 -65
 -64.9931 -65 -65
 -64.9832 -65 -65
 -64.9535 -65 -65
 -64.9036 -65 -65
 -64.8322 -65 -65
 -64.7399 -65 -65
 -64.6281 -65 -65
 -64.4258 -65 -65
 -64.189 -65 -65
 -63.9237 -65 -65
 -63.477 -65 -65
 -62.9933 -65 -65
 -62.4855 -65 -65
 -61.9638 -65 -65
 -61.4348 -65 -65
 -60.905 -65 -65
 -60.3733 -65 -65
 -59.8424 -65 -65
 -59.3078 -65 -65
 -58.7829 -65 -65
 -58.2394 -65 -65
 -58.1003 -65 -65
 -57.9631 -65 -65
 -57.8196 -65 -65
 -57.6753 -65 -65
 -57.5326 -65 -65
 -57.3844 -65 -65
 -57.2218 -65 -65
 -57.0648 -65 -65
 -56.9639 -65 -65
 -56.8502 -65 -65
 -56.7297 -65 -65
 -56.6145 -65 -65
 -56.4979 -65 -65
 -56.3663 -65 -65
 -56.2235 -65 -65
 -56.0905 -65 -65
 -55.9645 -65 -65
 -55.8223 -65 -65
 -55.6494 -65 -65
 -55.4761 -65 -65
 -55.3763 -65 -65
 -55.3003 -65 -65
 -55.2159 -65 -65
 -55.1299 -65 -65
 -55.0435 -65 -65
 -54.9534 -65 -65
 -54.8533 -65 -65
 -54.752 -65 -65
 -54.6909 -65 -65
 -54.6458 -65 -65
 -54.5961 -65 -65
 -54.5443 -65 -65
 -54.4933 -65 -65
 -54.4425 -65 -65
 -54.3901 -65 -65
 -54.3352 -65 -65
 -54.2787 -65 -65
 -54.2206 -65 -65
 -54.1603 -65 -65
 -54.0974 -65 -65
 -54.0326 -65 -65
 -53.9658 -65 -65
 -53.8966 -65 -65
 -53.8235 -65 -65
 -53.7464 -65 -65
 -53.6647 -65 -65
 -53.6092 -65 -65
 -53.5514 -65 -65
 -53.4916 -65 -65
 -53.4298 -65 -65
 -53.3867 -65 -65
 -53.3423 -65 -65
 -53.2962 -65 -65
 -53.2485 -65 -65
 -53.1989 -65 -65
 -53.1471 -65 -65
 -53.0931 -65 -65
 -53.0365 -65 -65
 -52.9769 -65 -65
 -52.9141 -65 -65
 -52.8476 -65 -65
 -52.7769 -65 -65
 -52.7014 -65 -65
 -52.6205 -65 -65
 -52.5332 -65 -65
 -52.4388 -65 -65
 -52.3361 -65 -65
 -52.2239 -65 -65
 -52.1008 -65 -65
 -51.9651 -65 -65
 -51.815 -65 -65
 -51.6481 -65 -65
 -51.4618 -65 -65
 -51.2528 -65 -65
 -51.0171 -65 -65
 -50.7497 -65 -65
 -50.4438 -65 -65
 -50.0909 -65 -65
 -49.6782 -65 -65
 -49.1864 -65 -65
 -48.5825 -65 -65
 -48.4085 -65 -65
 -48.2227 -65 -65
 -48.023 -65 -65
 -47.6853 -65 -65
 -47.299 -65 -65
 -46.8502 -65 -65
 -46.3212 -65 -65
 -45.9997 -65 -65
 -45.6465 -65 -65
 -45.2592 -65 -65
 -44.8366 -65 -65
 -44.3786 -65 -65
 -43.8869 -65 -65
 -43.3639 -65 -65
 -42.8127 -65 -65
 -42.2362 -65 -65
 -41.6367 -65 -65
 -41.0158 -65 -65
 -40.3743 -65 -65
 -39.7127 -65 -65
 -39.0311 -65 -65
 -38.3297 -65 -65
 -37.6089 -65 -65
 -36.8693 -65 -65
 -35.6666 -65 -65
 -34.426 -65 -65
 -33.1553 -65 -65
 -31.8636 -65 -65
 -30.5597 -65 -65
 -28.3434 -65 -65
 -26.1393 -65 -65
 -23.9578 -65 -65
